year,U.S.,China,Germany,Japan,India,U.K.,France,Italy,Brazil,Canada
1960,541988586206.897,59716249310.9742,84310950194.1152,47419238274.4619,37029883876.1839,73233967692.1028,62225478000.8822,41915814947.7905,,40563768946.9503
1961,561940310344.828,50056685957.359,96205728657.7269,57266758179.5883,39232435784.0358,77741965703.3544,67461644222.0352,46542216714.6155,,41038192837.9035
1962,603639413793.103,47209186415.3555,105508875286.241,64987857541.6256,42161481858.0819,81247564156.8246,75607529809.9288,52293346804.6254,,42336211555.8268
1963,637058551724.138,50706614526.1472,111822811005.912,74379284603.3875,48421923459.1235,86561961812.3249,84759195105.8693,59897871868.0716,,45140337826.9869
1964,684144620689.655,59708125203.8643,122880200227.839,87490590817.9803,56480289940.9899,94407558351.1616,94007851047.3678,65569646710.203,,49503663836.3665
1965,741904862068.965,70436008642.4251,134282707622.241,97338107605.8236,59556105229.0052,101824755078.991,101537248148.427,70554398250.3377,,54649410478.5226
1966,813032758620.69,76720005491.8964,142781158769.18,113046784179.289,45581230504.071,108572752102.045,110045852177.928,76446251295.3744,,61252415404.686
1967,859620034482.759,72881364882.4909,144570993320.91,132475614226.519,50134942204.0,113116888210.787,118972977486.207,84207912985.9219,,65856924423.9721
1968,940225000000.0,70846276051.4727,155955906530.699,156897496759.128,53085455870.6667,107759910067.889,129785441507.456,91275077144.6618,,72048833006.1602
1969,1017438172413.79,79705614854.7674,177084689264.145,184298841304.667,58447995017.3333,116464702803.218,141903068680.309,100764425165.486,,79405011124.8208
1970,1073303000000.0,92602634891.6589,215838448137.658,217223652719.444,62422483054.6667,130671946244.3,148456359985.827,113395315985.13,,88192257632.3093
1971,1164850000000.0,99800593790.9886,249985055484.303,245364056622.363,67351404351.833,148113896325.14,165966615366.402,124672365792.759,,99606454743.5136
1972,1279110000000.0,113689308020.343,299801542047.476,324933841268.585,71464700666.9869,169965034965.035,203494148244.473,145260039840.637,,113463848873.624
1973,1425376000000.0,138543170458.064,398374021953.897,441460582535.921,85517673172.5513,192537971582.558,264429876252.21,175492055795.417,,131764343565.643
1974,1545243000000.0,144188970821.072,445303484241.554,490035789970.299,99526597933.6331,206131369798.971,285553737043.099,199564489431.378,,160949188139.059
1975,1684904000000.0,163429530659.638,490636517211.225,532861438884.724,98473832017.3242,241756637168.142,360832186018.051,227695851126.928,,174419757176.563
1976,1873412000000.0,153939265947.775,519754453161.411,598883902155.605,102716451979.68,232614555256.065,372319038514.067,224717278436.846,,207271612576.065
1977,2081826000000.0,174935933078.663,600498238019.035,737069290927.712,121486641441.309,263066457352.172,410279486493.715,257596313364.055,,212325176304.654
1978,2351599000000.0,149540752829.268,740469983446.933,1035611588216.59,137302319828.995,335883029721.956,506709302325.581,315058323066.393,,219369542386.254
1979,2627333000000.0,178280594413.043,881345176608.686,1077910077676.37,152995442497.709,438994070309.191,613953129818.07,393677161500.816,,243891124295.715
