year,U.S.,Germany,Japan,U.K.,France,Italy,Canada,China
1970,,,70983120,,,,,453299770
1971,,,71799950,33560000,,,,466792476
1972,,,72551250,33604000,,,,480289919
1973,,,73816960,33644000,,,,493168870
1974,,,74360040,33679000,,,,502808705
1975,,,74915890,33729000,,,,510508030
1976,,,75797620,33828000,,,15015900,517729428
1977,135212900,,76395630,33976000,,,15364100,528738722
1978,137646100,,76826020,34141000,,,15658500,547101258
1979,140032900,,77493630,34336000,,,15930400,566480466
1980,142302700,,78045800,34579000,,,16220400,583687541
1981,144339100,,78785580,34830000,,,16508700,600441838
1982,146019200,,79132160,35053000,,,16751800,616596104
1983,147346800,,80106900,35318000,,,16966000,634113758
1984,149139000,,80673830,35630000,,,17151300,652879799
1985,150532600,,81517300,35813000,,,17326500,671252711
1986,152303100,,82253600,35915000,,,17496000,689171232
1987,153838800,,83035680,36026000,,,17651400,705817808
1988,155387500,,84002060,36129000,,,17826000,721706724
1989,156757500,,84665600,36215000,,,18013500,735923184
1990,159278900,,85408950,36292000,,,18226600,747174586
1991,160534800,,85915900,36346000,,,18459200,757775607
1992,161787900,,86308590,36364000,,,18673000,768432989
1993,163355400,,86667960,36350000,,,18880800,778388490
1994,165024700,,86899660,36368000,,,19078300,789242633
1995,166417700,,86924600,36442000,,,19299800,800991786
1996,167943400,,86837090,36557000,,,19540300,813656261
1997,170318400,,86946560,36685000,,,19755000,827885091
1998,172115400,,86780420,36820000,,38665940,19969200,841225988
1999,174366000,,86689580,37002000,,38635780,20164600,853178019
2000,178203600,,86536820,37217000,,38636510,20397500,865485980
2001,180348400,,86316380,37461000,,38652920,20659700,878790092
2002,182671600,,85950020,37710000,,38651150,20947300,893626205
2003,185659300,,85377870,37961000,38350780,38687560,21203400,908333176
2004,187566700,,85191820,38242000,38570800,38070050,21447000,922710365
2005,190033800,54692960,84774670,38616000,38868570,38264590,21704400,937712256
2006,192325600,54639730,84196150,39012000,39199410,38379860,21977200,949961080
2007,194823200,54159190,83406750,39400000,39468330,38403370,22225600,958367798
2008,196061800,54164800,82928750,39740000,39673300,38633080,22456400,965322958
2009,197062800,54061340,82227860,39984000,40729020,38913660,22701000,970985809
2010,198250300,52644560,81583690,40218000,40863250,39020180,22941700,975573268
2011,199138000,52359920,81277960,40472000,40963070,39204570,23156100,979815828
2012,200971600,52528630,80869590,40540000,40933260,39127140,23297600,983744113
2013,201723800,52564400,79753410,40592000,40869630,38970840,23421100,986335929
2014,202555400,52694700,78545890,40720000,40824230,38901960,23544000,987820941
2015,203862300,52725140,77562870,40907000,40748700,38689280,23631000,988302343
2016,205073600,53718800,76983730,41132000,40692120,38469730,23692900,988046970
2017,205383400,53747810,76435220,41294000,40642790,38372620,23848900,986411436
2018,206368800,53610390,75784980,41414000,40648860,38200090,24056700,983747116
2019,206331700,53513150,75344520,41542000,40601850,38084430,24307300,981428758
2020,205749700,53540180,75079520,41628000,40561560,37892110,24513100,978973450
2021,205155100,53060610,74863810,41687000,40524880,37576730,24539600,977101359
2022,207071200,53008000,74207170,41925000,40777200,37397990,24655700,974838886
2023,208315000,53576990,73822770,42204000,40881770,37250210,24914600,972620247
